time	L1
2018-01-25 09:00:00	0
2018-01-25 09:30:00	0
2018-01-25 10:00:00	0
2018-01-25 10:30:00	9
2018-01-25 11:00:00	68
2018-01-25 11:30:00	73
2018-01-25 12:00:00	129
2018-01-25 12:30:00	125
2018-01-25 13:00:00	164
2018-01-25 13:30:00	164
2018-01-25 14:00:00	195
2018-01-25 14:30:00	192
2018-01-25 15:00:00	225
2018-01-25 15:30:00	228
2018-01-25 16:00:00	254
2018-01-25 16:30:00	254
2018-01-25 17:00:00	282
2018-01-25 17:30:00	282
2018-01-25 20:30:00	280
2018-01-25 21:00:00	280
2018-01-25 21:30:00	281
2018-01-25 22:00:00	281
2018-01-25 22:30:00	281
2018-01-25 23:00:00	280
2018-01-25 23:30:00	279
2018-01-26 00:00:00	279
2018-01-26 00:30:00	281
2018-01-26 01:00:00	281
2018-01-26 01:30:00	282
2018-01-26 02:00:00	282
2018-01-26 02:30:00	282
2018-01-26 03:00:00	282
2018-01-26 03:30:00	282
2018-01-26 04:00:00	282
2018-01-26 04:30:00	282
2018-01-26 05:00:00	282
2018-01-26 05:30:00	282
2018-01-26 06:00:00	282
2018-01-26 06:30:00	282
2018-01-26 07:00:00	282
2018-01-26 07:30:00	282
2018-01-26 09:30:00	282
2018-01-26 10:00:00	323
2018-01-26 10:30:00	325
2018-01-26 11:00:00	347
2018-01-26 11:30:00	346
2018-01-26 12:00:00	377
2018-01-26 12:30:00	377
2018-01-26 13:00:00	405
2018-01-26 13:30:00	404
2018-01-26 16:00:00	469
2018-01-26 16:30:00	470
2018-01-26 17:00:00	490
2018-01-26 17:30:00	490
2018-01-26 18:00:00	490
2018-01-26 18:30:00	489
2018-01-26 19:00:00	486
2018-01-26 19:30:00	484
2018-01-26 20:00:00	482
2018-01-26 20:30:00	482
2018-01-26 21:00:00	482
2018-01-26 22:00:00	479
2018-01-26 22:30:00	480
2018-01-26 23:00:00	480
2018-01-26 23:30:00	480
2018-01-27 00:00:00	479
2018-01-27 00:30:00	479
2018-01-27 01:00:00	480
2018-01-27 01:30:00	481
2018-01-27 02:00:00	481
2018-01-27 02:30:00	481
2018-01-27 03:00:00	481
2018-01-27 03:30:00	480
2018-01-27 04:00:00	479
2018-01-27 04:30:00	479
2018-01-27 05:00:00	479
