time	L1	L2	L3	L4
2018-01-26 04:00:00	5	2	4	6
2018-01-26 04:00:00	5	2	4	6
2018-01-26 04:00:00	5	2	4	6
2018-01-26 04:00:00	5	2	4	6
2018-01-26 04:30:00	5	2	4	6
2018-01-26 04:30:00	5	2	4	6
2018-01-26 04:30:00	5	2	4	6
2018-01-26 04:30:00	5	2	4	6
2018-01-26 05:00:00	5	2	4	6
2018-01-26 05:00:00	5	2	4	6
2018-01-26 05:00:00	5	2	4	6
2018-01-26 05:00:00	5	2	4	6
2018-01-26 05:30:00	5	2	4	6
2018-01-26 05:30:00	5	2	4	6
2018-01-26 05:30:00	5	2	4	6
2018-01-26 05:30:00	5	2	4	6
2018-01-26 06:00:00	5	2	4	6
2018-01-26 06:00:00	5	2	4	6
2018-01-26 06:00:00	5	2	4	6
2018-01-26 06:00:00	5	2	4	6
2018-01-26 06:30:00	5	2	4	6
2018-01-26 06:30:00	5	2	4	6
2018-01-26 06:30:00	5	2	4	6
2018-01-26 06:30:00	5	2	4	6
2018-01-26 07:00:00	5	2	4	6
2018-01-26 07:00:00	5	2	4	6
2018-01-26 07:00:00	5	2	4	6
2018-01-26 07:00:00	5	2	4	6
2018-01-26 07:30:00	5	2	4	6
2018-01-26 07:30:00	5	2	4	6
2018-01-26 07:30:00	5	2	4	6
2018-01-26 07:30:00	5	2	4	6
2018-01-26 09:30:00	4	2	4	5
2018-01-26 09:30:00	4	2	4	5
2018-01-26 09:30:00	4	2	4	5
2018-01-26 09:30:00	4	2	4	5
2018-01-26 10:00:00	21	26	20	18
2018-01-26 10:00:00	21	26	20	18
2018-01-26 10:00:00	21	26	20	18
2018-01-26 10:00:00	21	26	20	18
2018-01-26 10:30:00	13	11	18	17
2018-01-26 10:30:00	13	11	18	17
2018-01-26 10:30:00	13	11	18	17
2018-01-26 10:30:00	13	11	18	17
2018-01-26 11:00:00	16	40	32	30
2018-01-26 11:00:00	16	40	32	30
2018-01-26 11:00:00	16	40	32	30
2018-01-26 11:00:00	16	40	32	30
2018-01-26 11:30:00	17	33	29	30
2018-01-26 11:30:00	17	33	29	30
2018-01-26 11:30:00	17	33	29	30
2018-01-26 11:30:00	17	33	29	30
2018-01-26 12:00:00	28	59	43	44
2018-01-26 12:00:00	28	59	43	44
2018-01-26 12:00:00	28	59	43	44
2018-01-26 12:00:00	28	59	43	44
2018-01-26 12:30:00	27	58	42	44
2018-01-26 12:30:00	27	58	42	44
2018-01-26 12:30:00	27	58	42	44
2018-01-26 12:30:00	27	58	42	44
2018-01-26 13:00:00	41	69	58	48
