time	L1	L2	L3	L4	L5	L6
2018-01-25 20:30:00	3	7	2	2	6	3
2018-01-25 20:30:00	3	7	2	2	6	3
2018-01-25 20:30:00	3	7	2	2	6	3
2018-01-25 21:00:00	3	7	2	2	6	3
2018-01-25 21:00:00	3	7	2	2	6	3
2018-01-25 21:00:00	3	7	2	2	6	3
2018-01-25 21:00:00	3	7	2	2	6	3
2018-01-25 21:00:00	3	7	2	2	6	3
2018-01-25 21:00:00	3	7	2	2	6	3
2018-01-25 21:30:00	3	7	2	2	6	3
2018-01-25 21:30:00	3	7	2	2	6	3
2018-01-25 21:30:00	3	7	2	2	6	3
2018-01-25 21:30:00	3	7	2	2	6	3
2018-01-25 21:30:00	3	7	2	2	6	3
2018-01-25 21:30:00	3	7	2	2	6	3
2018-01-25 22:00:00	3	7	2	2	6	3
2018-01-25 22:00:00	3	7	2	2	6	3
2018-01-25 22:00:00	3	7	2	2	6	3
2018-01-25 22:00:00	3	7	2	2	6	3
2018-01-25 22:00:00	3	7	2	2	6	3
2018-01-25 22:00:00	3	7	2	2	6	3
2018-01-25 22:30:00	3	7	2	2	6	3
2018-01-25 22:30:00	3	7	2	2	6	3
2018-01-25 22:30:00	3	7	2	2	6	3
2018-01-25 22:30:00	3	7	2	2	6	3
2018-01-25 22:30:00	3	7	2	2	6	3
2018-01-25 22:30:00	3	7	2	2	6	3
2018-01-25 23:00:00	3	7	2	2	6	3
2018-01-25 23:00:00	3	7	2	2	6	3
2018-01-25 23:00:00	3	7	2	2	6	3
2018-01-25 23:00:00	3	7	2	2	6	3
2018-01-25 23:00:00	3	7	2	2	6	3
2018-01-25 23:00:00	3	7	2	2	6	3
2018-01-25 23:30:00	3	7	2	2	6	3
2018-01-25 23:30:00	3	7	2	2	6	3
2018-01-25 23:30:00	3	7	2	2	6	3
2018-01-25 23:30:00	3	7	2	2	6	3
2018-01-25 23:30:00	3	7	2	2	6	3
2018-01-25 23:30:00	3	7	2	2	6	3
2018-01-26 00:00:00	3	7	2	2	6	3
2018-01-26 00:00:00	3	7	2	2	6	3
2018-01-26 00:00:00	3	7	2	2	6	3
2018-01-26 00:00:00	3	7	2	2	6	3
2018-01-26 00:00:00	3	7	2	2	6	3
2018-01-26 00:00:00	3	7	2	2	6	3
2018-01-26 00:30:00	3	7	2	2	6	3
2018-01-26 00:30:00	3	7	2	2	6	3
2018-01-26 00:30:00	3	7	2	2	6	3
2018-01-26 00:30:00	3	7	2	2	6	3
2018-01-26 00:30:00	3	7	2	2	6	3
2018-01-26 00:30:00	3	7	2	2	6	3
2018-01-26 01:00:00	3	7	2	2	6	3
2018-01-26 01:00:00	3	7	2	2	6	3
2018-01-26 01:00:00	3	7	2	2	6	3
2018-01-26 01:00:00	3	7	2	2	6	3
2018-01-26 01:00:00	3	7	2	2	6	3
2018-01-26 01:00:00	3	7	2	2	6	3
2018-01-26 01:30:00	3	7	2	2	6	3
2018-01-26 01:30:00	3	7	2	2	6	3
2018-01-26 01:30:00	3	7	2	2	6	3
2018-01-26 01:30:00	3	7	2	2	6	3
2018-01-26 01:30:00	3	7	2	2	6	3
2018-01-26 01:30:00	3	7	2	2	6	3
2018-01-26 02:00:00	3	7	2	2	6	3
2018-01-26 02:00:00	3	7	2	2	6	3
2018-01-26 02:00:00	3	7	2	2	6	3
2018-01-26 02:00:00	3	7	2	2	6	3
2018-01-26 02:00:00	3	7	2	2	6	3
2018-01-26 02:00:00	3	7	2	2	6	3
2018-01-26 02:30:00	3	7	2	2	6	3
2018-01-26 02:30:00	3	7	2	2	6	3
2018-01-26 02:30:00	3	7	2	2	6	3
2018-01-26 02:30:00	3	7	2	2	6	3
2018-01-26 02:30:00	3	7	2	2	6	3
2018-01-26 02:30:00	3	7	2	2	6	3
2018-01-26 03:00:00	3	7	2	2	6	3
2018-01-26 03:00:00	3	7	2	2	6	3
2018-01-26 03:00:00	3	7	2	2	6	3
2018-01-26 03:00:00	3	7	2	2	6	3
2018-01-26 03:00:00	3	7	2	2	6	3
2018-01-26 03:00:00	3	7	2	2	6	3
2018-01-26 03:30:00	3	7	2	2	6	3
2018-01-26 03:30:00	3	7	2	2	6	3
2018-01-26 03:30:00	3	7	2	2	6	3
2018-01-26 03:30:00	3	7	2	2	6	3
2018-01-26 03:30:00	3	7	2	2	6	3
2018-01-26 03:30:00	3	7	2	2	6	3
2018-01-26 04:00:00	3	7	2	2	6	3
2018-01-26 04:00:00	3	7	2	2	6	3
2018-01-26 04:00:00	3	7	2	2	6	3
2018-01-26 04:00:00	3	7	2	2	6	3
2018-01-26 04:00:00	3	7	2	2	6	3
2018-01-26 04:00:00	3	7	2	2	6	3
2018-01-26 04:30:00	3	7	2	2	6	3
2018-01-26 04:30:00	3	7	2	2	6	3
2018-01-26 04:30:00	3	7	2	2	6	3
2018-01-26 04:30:00	3	7	2	2	6	3
2018-01-26 04:30:00	3	7	2	2	6	3
2018-01-26 04:30:00	3	7	2	2	6	3
2018-01-26 05:00:00	3	7	2	2	6	3
2018-01-26 05:00:00	3	7	2	2	6	3
2018-01-26 05:00:00	3	7	2	2	6	3
2018-01-26 05:00:00	3	7	2	2	6	3
2018-01-26 05:00:00	3	7	2	2	6	3
2018-01-26 05:00:00	3	7	2	2	6	3
2018-01-26 05:30:00	3	7	2	2	6	3
2018-01-26 05:30:00	3	7	2	2	6	3
2018-01-26 05:30:00	3	7	2	2	6	3
