time	L1	L2	L3
2018-01-26 13:00:00	20	21	24
2018-01-26 13:30:00	8	20	17
2018-01-26 13:30:00	8	20	17
2018-01-26 13:30:00	8	20	17
2018-01-26 16:00:00	56	63	76
2018-01-26 16:00:00	56	63	76
2018-01-26 16:00:00	56	63	76
2018-01-26 16:30:00	56	63	77
2018-01-26 16:30:00	56	63	77
2018-01-26 16:30:00	56	63	77
2018-01-26 17:00:00	67	68	89
2018-01-26 17:00:00	67	68	89
2018-01-26 17:00:00	67	68	89
2018-01-26 17:30:00	67	66	87
2018-01-26 17:30:00	67	66	87
2018-01-26 17:30:00	67	66	87
2018-01-26 18:00:00	67	66	87
2018-01-26 18:00:00	67	66	87
2018-01-26 18:00:00	67	66	87
2018-01-26 18:30:00	67	65	87
2018-01-26 18:30:00	67	65	87
2018-01-26 18:30:00	67	65	87
2018-01-26 19:00:00	67	66	87
2018-01-26 19:00:00	67	66	87
2018-01-26 19:00:00	67	66	87
2018-01-26 19:30:00	67	66	86
2018-01-26 19:30:00	67	66	86
2018-01-26 19:30:00	67	66	86
2018-01-26 20:00:00	67	67	86
2018-01-26 20:00:00	67	67	86
2018-01-26 20:00:00	67	67	86
2018-01-26 20:30:00	68	67	86
2018-01-26 20:30:00	68	67	86
2018-01-26 20:30:00	68	67	86
2018-01-26 21:00:00	68	67	86
2018-01-26 21:00:00	68	67	86
2018-01-26 21:00:00	68	67	86
2018-01-26 22:00:00	67	67	85
2018-01-26 22:00:00	67	67	85
2018-01-26 22:00:00	67	67	85
2018-01-26 22:30:00	67	67	85
2018-01-26 22:30:00	67	67	85
2018-01-26 22:30:00	67	67	85
2018-01-26 23:00:00	67	67	84
2018-01-26 23:00:00	67	67	84
2018-01-26 23:00:00	67	67	84
2018-01-26 23:30:00	67	68	83
2018-01-26 23:30:00	67	68	83
2018-01-26 23:30:00	67	68	83
2018-01-27 00:00:00	67	68	83
2018-01-27 00:00:00	67	68	83
2018-01-27 00:00:00	67	68	83
2018-01-27 00:30:00	67	68	83
2018-01-27 00:30:00	67	68	83
2018-01-27 00:30:00	67	68	83
2018-01-27 01:00:00	67	69	83
2018-01-27 01:00:00	67	69	83
2018-01-27 01:00:00	67	69	83
2018-01-27 01:30:00	67	70	82
2018-01-27 01:30:00	67	70	82
2018-01-27 01:30:00	67	70	82
2018-01-27 02:00:00	67	70	82
2018-01-27 02:00:00	67	70	82
2018-01-27 02:00:00	67	70	82
2018-01-27 02:30:00	67	70	82
2018-01-27 02:30:00	67	70	82
2018-01-27 02:30:00	67	70	82
2018-01-27 03:00:00	67	70	82
2018-01-27 03:00:00	67	70	82
2018-01-27 03:00:00	67	70	82
2018-01-27 03:30:00	67	70	82
2018-01-27 03:30:00	67	70	82
2018-01-27 03:30:00	67	70	82
2018-01-27 04:00:00	67	70	82
2018-01-27 04:00:00	67	70	82
2018-01-27 04:00:00	67	70	82
2018-01-27 04:30:00	67	70	82
2018-01-27 04:30:00	67	70	82
2018-01-27 04:30:00	67	70	82
2018-01-27 05:00:00	67	70	82
2018-01-27 05:00:00	67	70	82
2018-01-27 05:00:00	67	70	82
2018-01-27 05:30:00	67	70	82
2018-01-27 05:30:00	67	70	82
2018-01-27 05:30:00	67	70	82
2018-01-27 06:00:00	67	70	82
2018-01-27 06:00:00	67	70	82
2018-01-27 06:00:00	67	70	82
2018-01-27 06:30:00	67	70	82
2018-01-27 06:30:00	67	70	82
2018-01-27 06:30:00	67	70	82
2018-01-27 07:00:00	67	70	82
2018-01-27 07:00:00	67	70	82
2018-01-27 07:00:00	67	70	82
2018-01-27 07:30:00	67	70	82
2018-01-27 07:30:00	67	70	82
2018-01-27 07:30:00	67	70	82
2018-01-27 09:30:00	67	70	82
2018-01-27 09:30:00	67	70	82
2018-01-27 09:30:00	67	70	82
2018-01-27 10:00:00	67	70	82
2018-01-27 10:00:00	67	70	82
2018-01-27 10:00:00	67	70	82
2018-01-27 10:30:00	67	70	82
2018-01-27 10:30:00	67	70	82
2018-01-27 10:30:00	67	70	82
2018-01-27 11:00:00	67	70	82
2018-01-27 11:00:00	67	70	82
2018-01-27 11:00:00	67	70	82
2018-01-27 11:30:00	67	69	83
2018-01-27 11:30:00	67	69	83
2018-01-27 11:30:00	67	69	83
2018-01-27 12:00:00	67	69	84
2018-01-27 12:00:00	67	69	84
2018-01-27 12:00:00	67	69	84
2018-01-27 12:30:00	67	69	84
2018-01-27 12:30:00	67	69	84
2018-01-27 12:30:00	67	69	84
2018-01-27 13:00:00	67	69	84
2018-01-27 13:00:00	67	69	84
2018-01-27 13:00:00	67	69	84
2018-01-27 13:30:00	67	69	84
2018-01-27 13:30:00	67	69	84
2018-01-27 13:30:00	67	69	84
2018-01-27 14:00:00	67	69	84
2018-01-27 14:00:00	67	69	84
2018-01-27 14:00:00	67	69	84
2018-01-27 14:30:00	67	68	84
2018-01-27 14:30:00	67	68	84
2018-01-27 14:30:00	67	68	84
2018-01-27 15:00:00	67	70	84
2018-01-27 15:00:00	67	70	84
2018-01-27 15:00:00	67	70	84
2018-01-27 15:30:00	67	70	84
2018-01-27 15:30:00	67	70	84
2018-01-27 15:30:00	67	70	84
2018-01-27 16:00:00	67	70	83
2018-01-27 16:00:00	67	70	83
2018-01-27 16:00:00	67	70	83
2018-01-27 16:30:00	67	70	83
2018-01-27 16:30:00	67	70	83
2018-01-27 16:30:00	67	70	83
2018-01-27 17:00:00	67	70	83
2018-01-27 17:00:00	67	70	83
2018-01-27 17:00:00	67	70	83
2018-01-27 17:30:00	67	70	83
2018-01-27 17:30:00	67	70	83
2018-01-27 17:30:00	67	70	83
2018-01-27 18:00:00	67	70	83
2018-01-27 18:00:00	67	70	83
2018-01-27 18:00:00	67	70	83
2018-01-27 18:30:00	67	70	83
2018-01-27 18:30:00	67	70	83
2018-01-27 18:30:00	67	70	83
2018-01-27 19:00:00	67	70	83
2018-01-27 19:00:00	67	70	83
2018-01-27 19:00:00	67	70	83
2018-01-27 19:30:00	67	70	83
2018-01-27 19:30:00	67	70	83
2018-01-27 19:30:00	67	70	83
2018-01-27 20:00:00	67	70	83
2018-01-27 20:00:00	67	70	83
2018-01-27 20:00:00	67	70	83
2018-01-27 20:30:00	67	69	83
2018-01-27 20:30:00	67	69	83
2018-01-27 20:30:00	67	69	83
2018-01-27 21:00:00	66	69	83
2018-01-27 21:00:00	66	69	83
2018-01-27 21:00:00	66	69	83
2018-01-27 21:30:00	66	69	83
2018-01-27 21:30:00	66	69	83
2018-01-27 21:30:00	66	69	83
2018-01-27 22:00:00	67	69	83
2018-01-27 22:00:00	67	69	83
2018-01-27 22:00:00	67	69	83
2018-01-27 22:30:00	67	69	83
2018-01-27 22:30:00	67	69	83
2018-01-27 22:30:00	67	69	83
2018-01-27 23:00:00	67	69	83
2018-01-27 23:00:00	67	69	83
2018-01-27 23:00:00	67	69	83
2018-01-27 23:30:00	67	69	83
2018-01-27 23:30:00	67	69	83
2018-01-27 23:30:00	67	69	83
2018-01-28 00:00:00	67	69	83
2018-01-28 00:00:00	67	69	83
2018-01-28 00:00:00	67	69	83
2018-01-28 00:30:00	67	69	83
2018-01-28 00:30:00	67	69	83
2018-01-28 00:30:00	67	69	83
2018-01-28 01:00:00	68	69	83
2018-01-28 01:00:00	68	69	83
2018-01-28 01:00:00	68	69	83
2018-01-28 01:30:00	68	69	83
2018-01-28 01:30:00	68	69	83
2018-01-28 01:30:00	68	69	83
2018-01-28 02:00:00	68	69	83
2018-01-28 02:00:00	68	69	83
2018-01-28 02:00:00	68	69	83
2018-01-28 02:30:00	68	69	83
2018-01-28 02:30:00	68	69	83
2018-01-28 02:30:00	68	69	83
2018-01-28 03:00:00	68	69	83
2018-01-28 03:00:00	68	69	83
2018-01-28 03:00:00	68	69	83
2018-01-28 03:30:00	68	69	83
2018-01-28 03:30:00	68	69	83
2018-01-28 03:30:00	68	69	83
2018-01-28 04:00:00	68	69	83
2018-01-28 04:00:00	68	69	83
2018-01-28 04:00:00	68	69	83
2018-01-28 04:30:00	68	69	83
2018-01-28 04:30:00	68	69	83
2018-01-28 04:30:00	68	69	83
2018-01-28 05:00:00	68	69	83
2018-01-28 05:00:00	68	69	83
2018-01-28 05:00:00	68	69	83
2018-01-28 05:30:00	68	69	83
2018-01-28 05:30:00	68	69	83
2018-01-28 05:30:00	68	69	83
2018-01-28 06:00:00	68	69	83
2018-01-28 06:00:00	68	69	83
2018-01-28 06:00:00	68	69	83
2018-01-28 06:30:00	68	69	83
2018-01-28 06:30:00	68	69	83
2018-01-28 06:30:00	68	69	83
2018-01-28 07:00:00	68	69	83
2018-01-28 07:00:00	68	69	83
2018-01-28 07:00:00	68	69	83
2018-01-28 07:30:00	68	69	83
2018-01-28 07:30:00	68	69	83
2018-01-28 07:30:00	68	69	83
2018-01-28 09:30:00	68	69	83
2018-01-28 09:30:00	68	69	83
2018-01-28 09:30:00	68	69	83
2018-01-28 10:00:00	68	69	83
2018-01-28 10:00:00	68	69	83
2018-01-28 10:00:00	68	69	83
2018-01-28 10:30:00	68	69	83
2018-01-28 10:30:00	68	69	83
